ts	phase	decision	why	evidence	result
2026-08-22T11:23:33Z	frame	Review the app for real speed and security defects, then ship a small verified stack to main	About 23k lines of app Swift and 4.6k of tests. No Xcode on this Linux VM. Security and data paths are high rigor. Taste refactors of SwiftDataArchiveBridge are out.	docs/ARCHITECTURE.md, EntertainmentValue/Services/Networking/HTTPClient.swift, EntertainmentValue/Services/Artwork/ArtworkRepository.swift	framed
2026-08-22T11:23:33Z	design	Ship four units: shared HTTP URL parse, predicate fetches, Settings counts, cover keep-last-image. Skip rewriting the 1782-line archive bridge.	The import path already requires http or https plus a host. Fetch and persist did not. Full-table MediaValue fetches and Settings @Query are measured in code, not guessed.	EntertainmentValue/Services/Import/StagedImportApplier.swift:958, EntertainmentValue/Services/MediaValue/MediaValueService.swift:121, EntertainmentValue/Features/Settings/SettingsView.swift:5	designed
2026-08-22T11:25:53Z	unit-url	Added RemoteHTTPURL and closed fetch plus persist boundaries that accepted file URLs	Import already required http or https with a host. Artwork, RSS, HTTPClient, and the item editor did not. A restored file cover URL would have been fetched.	EntertainmentValue/Services/Networking/RemoteHTTPURL.swift, EntertainmentValueTests/Networking/RemoteHTTPURLTests.swift	implemented, tests added, Xcode not available on this VM
2026-08-22T11:25:53Z	unit-queries	Media Value lookups use predicates. Settings and Search no longer load the whole store for counts or local matches.	validateItem and assignments fetched every row. Settings @Query loaded every item and list to count trash and archive.	EntertainmentValue/Services/MediaValue/MediaValueService.swift, EntertainmentValue/Features/Settings/SettingsView.swift, EntertainmentValue/Features/Search/SearchView.swift	implemented
2026-08-22T11:25:53Z	unit-artwork	CoverArtworkView keeps the last image while the same asset reloads at a new size	The load task cleared image on every GeometryReader tick, which flashes covers during layout.	EntertainmentValue/Features/Shared/CoverArtworkView.swift:85	implemented
2026-08-22T11:25:53Z	skip	Did not rewrite SwiftDataArchiveBridge or add Keychain accessibility on update	Inserts already use AfterFirstUnlockThisDeviceOnly. The archive bridge is 1782 lines and had no defect in this pass. Laziness protocol.	EntertainmentValue/Services/Credentials/CredentialStore.swift:47, EntertainmentValue/Services/Backup/SwiftDataArchiveBridge.swift	skipped
2026-08-22T11:33:33Z	unit-sensitive-feed	Shared PodcastFeedPrivacy.isSensitive; manual save Keychains token or userinfo feeds; existing non-HTTP feeds can still toggle privacy	Import already classified these as private. Manual save wrote them to SwiftData. classify() Keychains every non-Apple feed, so it cannot be reused. Bugbot showed a grandfathered file feed skipped reconcile.	1c453d9 EntertainmentValue/Features/Search/MetadataDomainMapping.swift EntertainmentValue/Features/Item/ItemEditorView.swift	implemented, tests added, Xcode not available on this VM
2026-08-22T11:33:33Z	unit-sort-title	setTitle now writes sortTitle; mergeDetails keeps a custom sort key if it no longer matches the search title	Library and Lists sort by sortTitle. Rename left items under the old key.	439fc67 EntertainmentValue/Models/LibraryModels.swift:137 EntertainmentValueTests/Models/SchemaTests.swift	implemented, tests added, Xcode not available on this VM
2026-08-22T11:33:33Z	unit-trash-gate	Recently Deleted purge and permanent delete take the restore gate; trash and archive queries use predicates	A purge save mid replace-all restore can commit a half-wiped graph. Trash views loaded every item.	c9c4f93 EntertainmentValue/Features/Settings/TrashViews.swift EntertainmentValue/Services/Maintenance/TrashPurgeService.swift	implemented, Xcode not available on this VM
2026-08-22T11:33:33Z	unit-home-rails	Home body partitions rails once and passes the slices into the sections	overdue, active, and planned each called partition and faulted reminders.	b38b52d EntertainmentValue/Features/Home/HomeView.swift:49	implemented, Xcode not available on this VM
